,id,date,price,bathrooms,sqft_lot,level
1770,625059051,2014-09-03,2350000.0,2.25,22863,high_standard
13700,4139900180,2015-04-20,2340000.0,2.5,35200,high_standard
16258,1652500010,2015-03-26,2328000.0,3.5,20759,high_standard
20664,4139300135,2014-07-09,2321000.0,4.75,17004,high_standard
19823,8085400376,2015-04-21,2320000.0,3.5,9520,high_standard
13020,1118001201,2015-01-30,2300000.0,2.5,8402,high_standard
11402,3426049284,2014-08-19,2300000.0,3.25,15929,high_standard
15246,5536100005,2014-08-08,2300000.0,4.75,8816,high_standard
16944,3880900170,2014-08-05,2300000.0,2.5,7100,high_standard
15553,1732801150,2014-07-01,2300000.0,4.75,9778,high_standard
1272,4389200765,2014-06-25,2300000.0,3.25,8570,high_standard
20767,8043700105,2015-04-17,2300000.0,4.0,8175,high_standard
3039,5452301785,2015-02-18,2298000.0,4.25,13860,high_standard
3091,251620110,2014-07-02,2288000.0,2.5,18362,high_standard
12777,1225069038,2014-05-05,2280000.0,8.0,307752,high_standard
15632,3625049088,2014-07-02,2271150.0,3.25,18916,high_standard
1282,8964800445,2015-02-09,2260000.0,3.5,14872,high_standard
20096,3262300485,2015-04-21,2250000.0,5.25,8118,high_standard
1676,5700003985,2014-10-29,2250000.0,3.5,8125,high_standard
6783,5316100980,2015-03-26,2250000.0,3.0,7200,high_standard
19758,9831200159,2014-08-06,2250000.0,3.25,3452,high_standard
779,1954700695,2014-06-12,2250000.0,4.25,9453,high_standard
518,4386700135,2014-11-14,2250000.0,2.25,8036,high_standard
153,7855801670,2015-04-01,2250000.0,3.25,19850,high_standard
13071,1118001215,2015-02-04,2250000.0,2.5,8700,high_standard
17288,5316100920,2014-07-25,2250000.0,4.25,7800,high_standard
21506,2524069097,2014-05-09,2238890.0,6.5,130017,high_standard
21201,518500460,2014-10-08,2230000.0,3.5,5634,high_standard
14619,7936500109,2014-07-25,2230000.0,3.0,28064,high_standard
20247,856000635,2015-03-23,2225000.0,4.25,10800,high_standard
14185,1333300145,2015-03-04,2225000.0,4.0,30120,high_standard
17328,868001435,2015-01-27,2225000.0,3.0,16740,high_standard
19684,1973700030,2015-04-29,2205000.0,2.5,10177,high_standard
1361,1925069082,2015-05-11,2200000.0,4.25,22703,high_standard
6233,2024069008,2014-06-19,2200000.0,4.75,10450,high_standard
11748,3629940160,2015-03-11,2200000.0,4.5,17168,high_standard
3861,1118001295,2014-12-03,2200000.0,3.0,11098,high_standard
14232,824059305,2015-01-08,2200000.0,4.0,11652,high_standard
15180,9185700285,2014-12-23,2200000.0,3.75,7200,high_standard
14385,2425049061,2014-08-25,2200000.0,2.0,30456,high_standard
6045,4045100190,2014-10-27,2196000.0,3.25,18000,high_standard
16614,7935000280,2014-08-12,2195000.0,3.25,35765,high_standard
8222,1954700610,2014-12-09,2193000.0,2.25,7108,high_standard
17001,2525049259,2014-08-12,2187730.0,4.5,13162,high_standard
18882,4218400455,2014-07-08,2180000.0,2.75,11000,high_standard
7002,6377200010,2014-12-08,2175000.0,3.0,21701,high_standard
19323,5553300375,2014-08-20,2160000.0,3.5,6495,high_standard
15152,1370800225,2015-03-18,2152500.0,3.25,6214,high_standard
4035,685000115,2014-10-07,2150000.0,6.0,9415,high_standard
7700,3761700053,2015-01-05,2150000.0,2.75,9610,high_standard
20233,5710000005,2014-05-22,2150000.0,5.5,10320,high_standard
18768,1959701800,2014-07-02,2147500.0,3.5,5500,high_standard
8443,125069038,2014-11-25,2140000.0,3.75,453895,high_standard
16720,1338800425,2015-03-04,2140000.0,4.0,7128,high_standard
12186,4107100204,2014-08-21,2135000.0,3.25,17820,high_standard
4339,3760500336,2014-11-26,2125000.0,2.75,19513,high_standard
540,622049114,2015-02-18,2125000.0,2.5,24069,high_standard
14139,6065300330,2014-06-20,2110000.0,2.25,17833,high_standard
11278,3025300226,2014-05-15,2100000.0,1.75,19865,high_standard
3519,5700003640,2014-05-19,2095000.0,3.75,10655,high_standard
3344,3861470110,2014-06-23,2075000.0,3.5,20377,high_standard
21368,9533100285,2014-06-30,2065000.0,3.75,7965,high_standard
17767,7352200450,2015-01-15,2050000.0,3.25,19989,high_standard
282,7424700045,2015-05-13,2050000.0,3.0,8480,high_standard
4406,3505100756,2014-11-06,2050000.0,3.0,18834,high_standard
4859,1338300170,2015-03-24,2048000.0,4.0,8208,high_standard
17980,46100504,2014-06-17,2027000.0,3.75,22798,high_standard
17679,3585901085,2014-06-04,2005000.0,4.5,28176,high_standard
13271,2524049318,2014-05-28,2000000.0,3.0,18000,high_standard
21,2524049179,2014-08-26,2000000.0,2.75,44867,high_standard
10468,1732800310,2015-03-02,2000000.0,3.75,4500,high_standard
15039,2726049034,2014-11-10,2000000.0,3.25,16387,high_standard
19215,4131900042,2014-05-16,2000000.0,4.25,10862,high_standard
4486,1724069059,2014-05-24,2000000.0,4.0,4443,high_standard
12613,3225069241,2015-04-22,2000000.0,2.5,21064,high_standard
21333,2424059174,2015-05-08,1999950.0,3.25,35006,high_standard
13280,1068000150,2015-05-01,1999000.0,3.25,7500,high_standard
6691,2624089007,2015-03-20,1998000.0,2.5,920423,high_standard
17995,1346300035,2014-06-26,1990000.0,3.0,5000,high_standard
14550,632000065,2014-06-11,1989000.0,2.5,13500,high_standard
21467,2311400056,2014-12-01,1987500.0,3.5,8960,high_standard
16525,2025059026,2015-02-25,1980000.0,3.5,44384,high_standard
19529,1651500040,2014-08-01,1980000.0,4.0,12081,high_standard
7415,5017000470,2014-07-10,1975000.0,4.5,9097,high_standard
17235,1338600225,2014-05-28,1970000.0,3.5,6480,high_standard
6335,824059321,2014-06-02,1965220.0,3.5,8510,high_standard
3281,8964800025,2015-02-26,1965000.0,3.75,13738,high_standard
12577,2806300065,2015-04-22,1960000.0,4.0,31353,high_standard
12283,1923000260,2014-10-15,1959000.0,4.5,23373,high_standard
1152,4055701200,2015-04-21,1955000.0,2.75,7898,high_standard
9175,3124059023,2015-02-13,1955000.0,1.75,12566,high_standard
19351,2525049113,2014-07-25,1950000.0,3.5,18713,high_standard
11871,8835800350,2015-01-12,1950000.0,3.25,167869,high_standard
15377,1568100920,2015-04-08,1950000.0,2.5,14554,high_standard
556,5486800070,2014-06-20,1950000.0,3.5,15235,high_standard
16252,3760500280,2014-10-14,1950000.0,2.5,12779,high_standard
14254,2425049107,2015-03-05,1950000.0,3.75,17424,high_standard
15158,5493110020,2015-01-16,1950000.0,2.75,18745,high_standard
18875,4389201241,2014-12-30,1945000.0,4.0,6900,high_standard
4923,9809000020,2015-03-13,1940000.0,2.25,16672,high_standard
6501,2626069030,2015-02-09,1940000.0,5.75,223462,high_standard
20897,3860900035,2015-04-15,1940000.0,3.5,16526,high_standard
1732,8081500060,2014-10-01,1928000.0,3.25,20296,high_standard
9414,5700003630,2014-06-30,1925000.0,4.25,8050,high_standard
6499,1370802115,2014-12-05,1925000.0,4.5,6134,high_standard
16124,1118000080,2015-03-31,1925000.0,3.75,16101,high_standard
16773,1630700380,2015-01-30,1920000.0,5.75,230868,high_standard
18912,2425049066,2014-06-16,1920000.0,2.5,34412,high_standard
8910,1118001560,2014-07-10,1910000.0,3.0,6833,high_standard
3761,2540700110,2015-02-12,1905000.0,3.5,18564,high_standard
3229,9808700405,2014-06-04,1901000.0,2.5,13367,high_standard
7886,3024059014,2015-03-25,1900000.0,2.25,11489,high_standard
14816,1525059261,2015-05-05,1900000.0,4.5,44315,high_standard
15204,3835500585,2014-10-16,1900000.0,2.75,12668,high_standard
20828,357000135,2015-02-18,1900000.0,2.5,7830,high_standard
13675,4389201075,2014-07-31,1900000.0,2.5,13351,high_standard
12459,4114601580,2014-07-24,1900000.0,4.0,13237,high_standard
10085,7767000060,2014-09-12,1900000.0,4.25,16471,high_standard
3258,1330300300,2015-04-15,1900000.0,3.75,8550,high_standard
19446,3303850330,2014-12-16,1900000.0,3.25,27755,high_standard
6794,1727001300,2014-06-09,1900000.0,3.25,112521,high_standard
3157,1827200265,2014-09-11,1899000.0,2.75,32044,high_standard
19984,2025069140,2015-03-17,1898000.0,2.5,4334,high_standard
20527,8085400401,2015-01-15,1898000.0,4.5,9656,high_standard
4922,9809000020,2014-05-13,1895000.0,2.25,16672,high_standard
12509,249000180,2014-12-01,1890000.0,4.25,9345,high_standard
13869,824059042,2014-05-30,1886700.0,3.5,17935,high_standard
21540,715010530,2015-01-13,1881580.0,3.5,13000,high_standard
17230,2470200020,2014-05-14,1880000.0,2.75,19542,high_standard
5589,6447300225,2014-11-06,1880000.0,2.75,17919,high_standard
21141,8923600020,2014-08-06,1880000.0,3.5,6220,high_standard
6740,3391500050,2014-07-03,1875000.0,3.25,10929,high_standard
1217,6321000045,2014-12-22,1875000.0,3.25,7920,high_standard
16448,3885803044,2014-09-02,1875000.0,5.0,7440,high_standard
4218,1025039086,2014-09-16,1875000.0,2.5,29111,high_standard
17459,3625700010,2014-05-06,1870000.0,4.0,15175,high_standard
21514,3262300818,2015-02-27,1865000.0,3.75,8797,high_standard
2473,7787400105,2015-03-06,1865000.0,2.5,43560,high_standard
8152,4218400100,2014-09-11,1865000.0,2.75,6952,high_standard
18287,1524079188,2014-07-29,1862000.0,5.25,320917,high_standard
18206,9471200065,2014-10-15,1855000.0,3.25,9600,high_standard
8049,4134300175,2015-04-17,1851000.0,2.5,14866,high_standard
5749,6744701310,2015-04-15,1850000.0,2.5,11972,high_standard
15679,5026900235,2014-09-11,1850000.0,3.25,1880,high_standard
11770,3592500800,2014-10-18,1850000.0,3.25,6060,high_standard
4762,9201300050,2014-08-14,1850000.0,2.25,8442,high_standard
12650,809001520,2014-11-05,1850000.0,3.25,6000,high_standard
19681,1266200140,2015-05-06,1850000.0,3.25,10335,high_standard
21166,4457300005,2015-03-25,1839900.0,3.25,11007,high_standard
2858,6752500090,2015-01-27,1835000.0,3.5,39190,high_standard
20920,2124069115,2014-10-21,1830000.0,4.25,215186,high_standard
15567,5493110080,2014-08-15,1825000.0,3.75,39317,high_standard
7911,1051000040,2015-04-24,1824100.0,2.25,20053,high_standard
13400,1524069044,2014-10-09,1822500.0,4.5,88714,high_standard
11105,4054530260,2014-06-27,1820000.0,4.5,53330,high_standard
13984,4094800120,2014-06-19,1815000.0,3.0,13000,high_standard
16193,1725059136,2014-11-21,1815000.0,4.5,12873,high_standard
13787,5035300325,2015-04-14,1810000.0,2.25,15626,high_standard
16580,8081500050,2015-03-02,1810000.0,2.5,20441,high_standard
2320,1118000465,2015-03-12,1810000.0,3.5,8295,high_standard
17407,9286730020,2015-03-31,1802750.0,3.25,20005,high_standard
19272,1337300145,2014-07-21,1800000.0,2.5,8325,high_standard
13267,5425700205,2014-05-20,1800000.0,3.5,16953,high_standard
15512,4030100005,2014-12-09,1800000.0,3.75,39094,high_standard
20369,4385700250,2015-04-07,1800000.0,3.5,4000,high_standard
20471,323079101,2015-01-23,1800000.0,3.5,205603,high_standard
14308,3528000040,2015-03-26,1800000.0,3.25,224442,high_standard
8784,3343302110,2015-03-06,1800000.0,3.0,13295,high_standard
21148,524059063,2014-05-06,1800000.0,5.0,10279,high_standard
11284,5078400160,2014-06-05,1800000.0,4.5,15580,high_standard
3035,1329000090,2014-12-19,1799000.0,3.5,39098,high_standard
5829,9359100500,2014-05-27,1795000.0,3.25,13000,high_standard
9553,9320100090,2014-06-10,1795000.0,3.25,17232,high_standard
13851,5461300150,2014-12-11,1795000.0,2.75,20274,high_standard
20224,3893100462,2015-02-25,1789950.0,3.75,8504,high_standard
11829,4139420640,2014-10-30,1785000.0,3.5,14300,high_standard
5451,7237501190,2014-10-10,1780000.0,3.25,13402,high_standard
9573,644000040,2015-04-29,1780000.0,3.25,10912,high_standard
17137,1370803180,2014-08-08,1776000.0,3.25,7800,high_standard
13542,251500330,2014-10-14,1775000.0,2.25,19225,high_standard
7387,5457300095,2015-01-07,1775000.0,3.25,7071,high_standard
15135,8964800050,2015-03-04,1770000.0,2.5,14603,high_standard
10913,2954400310,2014-09-15,1769000.0,3.5,38900,high_standard
21383,644000115,2014-09-23,1765000.0,3.25,10249,high_standard
13621,2525049266,2014-08-21,1762000.0,2.25,16000,high_standard
2236,4139420370,2014-08-11,1760000.0,5.0,21630,high_standard
9608,1337800805,2014-07-03,1755000.0,2.0,4800,high_standard
15166,3304700130,2015-01-28,1755000.0,4.0,67953,high_standard
21473,8085400586,2014-11-01,1750000.0,2.75,8975,high_standard
16430,715010130,2015-02-02,1750000.0,4.25,13928,high_standard
1161,7533800295,2014-08-19,1750000.0,3.25,7749,high_standard
11574,1336800240,2014-05-08,1750000.0,3.0,5760,high_standard
20168,250000010,2014-09-24,1750000.0,3.5,8400,high_standard
20092,250000090,2014-07-14,1750000.0,4.5,7660,high_standard
20830,715010140,2014-10-02,1750000.0,3.25,12739,high_standard
12826,3025059072,2014-07-25,1749000.0,2.5,22710,high_standard
5433,3885808005,2015-03-05,1740000.0,3.25,5500,high_standard
3769,4219401080,2014-05-20,1740000.0,3.75,4545,high_standard
9879,1118000935,2014-07-05,1738000.0,2.25,6513,high_standard
17312,3585901025,2014-06-13,1735000.0,2.5,32093,high_standard
2136,4219400520,2014-06-16,1735000.0,2.25,5000,high_standard
18069,1561600056,2014-10-17,1735000.0,3.5,9654,high_standard
7127,1024049024,2014-12-03,1735000.0,3.5,7700,high_standard
11673,46100350,2014-06-30,1730000.0,3.5,26540,high_standard
9836,4094800260,2014-11-26,1730000.0,3.5,20668,high_standard
18432,6448000100,2014-06-17,1728000.0,3.0,20570,high_standard
5864,4141800285,2014-07-14,1727000.0,2.25,8000,high_standard
21485,1088100450,2014-07-25,1720000.0,4.0,35046,high_standard
1944,1118001805,2014-07-24,1715000.0,3.75,7623,high_standard
15667,1118001835,2014-12-23,1715000.0,2.5,7207,high_standard
12295,3738000070,2015-03-09,1712750.0,2.5,6572,high_standard
13758,3220200040,2014-06-16,1712500.0,3.25,5432,high_standard
19848,4100500070,2014-05-27,1710000.0,4.5,14685,high_standard
4408,5154200015,2015-04-14,1705000.0,3.0,27702,high_standard
11398,2154500060,2014-12-03,1705000.0,3.0,17100,high_standard
18146,8106100085,2014-05-09,1702500.0,4.5,23716,high_standard
2461,2175100055,2014-12-30,1700000.0,5.0,14649,high_standard
18791,1925069066,2014-06-23,1700000.0,2.75,18731,high_standard
1420,8073000550,2015-04-15,1700000.0,3.75,17186,high_standard
21568,524059330,2015-01-30,1700000.0,3.5,8963,high_standard
10525,8146200070,2015-03-10,1700000.0,2.75,9360,high_standard
2140,1224059053,2014-10-27,1700000.0,2.0,15250,high_standard
7578,4141010110,2014-08-08,1700000.0,3.5,15335,high_standard
13196,5493100366,2014-06-25,1700000.0,3.5,22885,high_standard
10539,1623069046,2015-03-12,1700000.0,3.5,336283,high_standard
20500,2311400145,2014-10-29,1699990.0,3.75,8234,high_standard
11233,2655500241,2014-08-14,1699000.0,3.25,35153,high_standard
13068,7856410411,2014-09-22,1698890.0,4.5,15246,high_standard
9449,3472800065,2014-08-26,1698000.0,3.0,9687,high_standard
21316,6600000050,2015-03-10,1698000.0,3.5,6240,high_standard
5827,9829200250,2015-01-05,1697000.0,2.0,6600,high_standard
19961,5078400215,2014-07-30,1695000.0,4.75,7067,high_standard
18075,5457800930,2014-06-13,1695000.0,2.25,3000,high_standard
9994,6738700335,2014-07-01,1695000.0,2.75,10900,high_standard
9679,1370800700,2015-02-09,1695000.0,4.0,5350,high_standard
6197,9178601660,2015-05-14,1695000.0,3.0,5354,high_standard
5600,9808100185,2014-10-03,1691000.0,3.5,13515,high_standard
15764,4219401236,2014-05-20,1690000.0,1.75,8965,high_standard
14307,3528000040,2014-10-01,1690000.0,3.25,224442,high_standard
13294,4219400580,2014-06-12,1688000.0,2.5,7500,high_standard
10817,4139480350,2015-01-13,1688000.0,4.0,12941,high_standard
15592,5093300280,2014-07-09,1681000.0,5.25,18707,high_standard
18101,6648150040,2014-05-13,1680000.0,3.25,23723,high_standard
9274,4139500410,2015-01-26,1680000.0,4.75,16747,high_standard
9253,853600150,2014-05-24,1680000.0,4.25,68257,high_standard
14032,3459900230,2014-11-25,1680000.0,3.75,29536,high_standard
19736,3616600003,2015-03-02,1680000.0,2.5,16972,high_standard
15668,4030100290,2014-10-01,1680000.0,3.5,7197,high_standard
2200,1329000030,2014-09-04,1680000.0,3.75,34982,high_standard
1730,5021900140,2014-11-20,1679000.0,4.25,11466,high_standard
15722,9315600050,2015-03-17,1675000.0,3.25,19080,high_standard
18828,1455100355,2014-07-08,1675000.0,2.5,8343,high_standard
15263,629800660,2014-09-09,1675000.0,4.75,25412,high_standard
3338,1959701745,2014-11-07,1675000.0,2.25,6600,high_standard
4428,2125059013,2015-04-20,1670000.0,3.5,40816,high_standard
12188,5350201180,2014-07-20,1665000.0,3.75,8395,high_standard
11073,5154700060,2014-10-15,1662000.0,2.75,19200,high_standard
16389,9544200277,2014-10-15,1660000.0,3.25,11189,high_standard
11465,4218400671,2015-05-05,1655000.0,2.25,5500,high_standard
8329,1370801520,2014-05-27,1655000.0,3.5,4815,high_standard
13235,3262300322,2015-04-08,1651000.0,3.25,13530,high_standard
16804,1068000255,2014-08-27,1650000.0,3.5,9567,high_standard
10958,1652500060,2014-07-11,1650000.0,2.75,20666,high_standard
2565,7856400240,2015-02-11,1650000.0,3.0,9750,high_standard
2179,3343301920,2015-03-02,1650000.0,2.75,8890,high_standard
13492,9413900035,2015-01-09,1650000.0,3.25,7500,high_standard
12350,8964800860,2015-02-09,1650000.0,2.5,11904,high_standard
18511,8964800975,2014-07-31,1650000.0,2.75,14904,high_standard
12287,1651800030,2014-08-29,1650000.0,2.25,20400,high_standard
15415,777100005,2014-11-22,1650000.0,2.25,6203,high_standard
17838,3024059057,2015-05-01,1650000.0,4.5,16065,high_standard
3777,3885803245,2015-03-05,1650000.0,4.0,8400,high_standard
7077,2724079090,2015-01-05,1650000.0,3.25,881654,high_standard
17596,1824079052,2015-04-01,1650000.0,3.25,210394,high_standard
9737,4104500181,2014-08-12,1648000.0,3.5,12500,high_standard
7844,8084900195,2014-11-21,1646000.0,3.5,16200,high_standard
14995,4054550010,2015-04-13,1640000.0,4.0,118047,high_standard
13633,3528900401,2014-07-01,1640000.0,3.25,5445,high_standard
15692,6117502230,2014-12-01,1637500.0,3.5,21164,high_standard
15924,7533800170,2014-07-07,1636000.0,2.5,6765,high_standard
2112,7787400030,2014-06-09,1635000.0,3.5,26784,high_standard
17324,9809000010,2015-01-06,1629000.0,2.5,16583,high_standard
8174,9279700150,2015-02-12,1625000.0,3.75,8112,high_standard
14233,5318101565,2014-07-03,1625000.0,3.25,3600,high_standard
5739,6613000585,2015-01-08,1620500.0,2.5,9362,high_standard
2564,7856400240,2014-06-27,1620000.0,3.0,9750,high_standard
11843,2450500060,2014-08-26,1620000.0,3.25,8114,high_standard
16268,3025300250,2015-05-13,1620000.0,2.25,17709,high_standard
11878,2288900140,2014-12-18,1620000.0,3.5,4000,high_standard
7269,4139470010,2014-10-06,1615000.0,3.25,12281,high_standard
14774,9412400220,2014-07-10,1612500.0,2.75,18200,high_standard
2790,824059331,2014-11-08,1610000.0,3.75,13260,high_standard
10951,853600310,2014-08-28,1610000.0,4.5,142725,high_standard
13189,5093300325,2014-05-23,1610000.0,3.5,11600,high_standard
